chembl_id,smiles,activity
CHEMBL59146,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccccc1,29.0
CHEMBL60538,Oc1ccc2c(c1)CCC(c1ccccc1)N2Cc1ccc(OCCN2CCCCC2)cc1,1.7
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.4
CHEMBL293599,Oc1ccc(C2CCc3cc(O)ccc3N2)cc1,170.0
CHEMBL56306,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCC3)cc2)cc1,1.1
CHEMBL58688,Oc1cccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)c1,0.6
CHEMBL56166,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1ccc(O)cc1,88.0
CHEMBL56390,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCC3)cc2)cc1,0.9
CHEMBL59438,Oc1ccc(-c2ccc3cc(O)ccc3n2)cc1,310.0
CHEMBL2137046,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.5
CHEMBL59311,O=C(c1ccc(OCCN2CCCCC2)cc1)N1c2ccc(O)cc2CCC1c1cccc(O)c1,37.0
CHEMBL56198,Oc1ccc(C2CCc3cc(O)ccc3N2Cc2ccc(OCCN3CCCCC3)cc2)cc1,0.6
CHEMBL293297,Oc1ccc(C2CCc3cc(O)ccc3N2c2ccc(OCCN3CCCCC3)cc2)cc1,2.5
CHEMBL335884,C[C@@]12CCc3c(sc4cc(O)ccc34)[C@H]1CC[C@H]2O,13.0
CHEMBL135236,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CC[C@H]2O,8.0
CHEMBL135180,C[C@]12CCc3c(sc4cc(O)ccc34)[C@H]1CC[C@@H]2O,10.0
CHEMBL335328,C[C@@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@H]2O,24.0
CHEMBL138544,C[C@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@H]2O,23.0
CHEMBL135732,C[C@]12CCc3c(sc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,4.0
CHEMBL58563,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CCc3ccccc3)n2)ccc1O,160.0
CHEMBL59184,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)Cc3ccccc3)n2)ccc1O,380.0
CHEMBL82307,COc1ccc2c(c1)CCC1=CC(=O)CC[C@@]12Cc1ccccc1,10000.0
CHEMBL60909,CCOCCN(CCOCC)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,2000.0
CHEMBL58504,CCCCN(C)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,660.0
CHEMBL58449,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)Cc3cccc4ccccc34)n2)ccc1O,450.0
CHEMBL59552,CC(C)CN(C)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,620.0
CHEMBL58330,Cc1cc(-c2cc(-c3ccccc3)cc(N(CCc3ccccc3)Cc3ccccc3)n2)ccc1O,130.0
CHEMBL57875,CN(CCc1ccccc1)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,490.0
CHEMBL57093,CCCN(Cc1ccccn1)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,70.0
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.22
CHEMBL58714,Cc1cc(-c2cc(-c3ccccc3)cc(N3CCC(Cc4ccccc4)CC3)n2)ccc1O,20.0
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,2.2
CHEMBL78704,CC#C[C@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(Cc4ccc(C)cc4)C3=CC[C@@]21C,10000.0
CHEMBL59271,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CCc3ccccn3)n2)ccc1O,1260.0
CHEMBL61026,CCN(Cc1ccncc1)c1cc(-c2ccccc2)cc(-c2ccc(O)c(C)c2)n1,830.0
CHEMBL294710,Cc1ccccc1-c1cc(-c2ccc(O)cc2)nc(N(C)CCc2ccccc2)c1,650.0
CHEMBL58741,CN(CCc1ccccc1)c1cc(-c2ccc(O)cc2)cc(-c2ccc(O)cc2)n1,3000.0
CHEMBL58486,Cc1cc(-c2cc(-c3ccccc3)cc(N(C)CC(C)C)n2)ccc1O,210.0
CHEMBL292573,CCCN(Cc1ccccn1)c1cc(-c2ccccc2)cc(-c2ccc(O)cc2)n1,180.0
CHEMBL152993,CN1CCN(c2nc(NCCc3ccc(O)cc3)nc(SCCCc3ccccc3)n2)CC1,270.0
CHEMBL155044,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(Cc3ccncc3)CC2)n1,810.0
CHEMBL153245,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(C(=O)Nc3ccc(Cl)cc3)CC2)n1,855.0
CHEMBL150356,Oc1ccc(CCNc2nc(NCCc3ccccc3)nc(N3CCNCC3)n2)cc1,2370.0
CHEMBL153407,CN(CCCc1ccc(C(F)(F)F)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,480.0
CHEMBL150879,CN(C)C(=O)CN1CCN(c2nc(NCCc3ccc(O)cc3)nc(N(C)CCCc3ccc(Cl)cc3)n2)CC1,3000.0
CHEMBL153211,CN1CCN(c2nc(NCCCc3ccccc3)nc(NCc3ccc(O)cc3)n2)CC1,5130.0
CHEMBL150554,CN1CCN(c2nc(NCCCc3ccccc3)nc(N3CCCC(c4ccc(O)cc4)C3)n2)CC1,10000.0
CHEMBL153709,Oc1ccc(CCNc2nc(NCCCc3ccc(Cl)cc3)nc(N3CCNCC3)n2)cc1,200.0
CHEMBL154988,CN1CCN(c2nc(NCCc3ccc(O)cc3)nc(N(C)CCCc3ccc(Cl)cc3)n2)CC1,145.0
CHEMBL153471,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(Cc3cccnc3)CC2)n1,475.0
CHEMBL153303,CN1CCN(c2nc(NCCCc3ccccc3)nc(NC3CCc4cc(O)ccc4C3)n2)CC1,1000.0
CHEMBL153115,CN(CCCc1ccc(F)c(F)c1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,200.0
CHEMBL153113,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(c3ccccc3)CC2)n1,6320.0
CHEMBL358938,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(CC(=O)c3ccccc3)CC2)n1,2040.0
CHEMBL153359,CN(CCCc1ccc(C#N)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,570.0
CHEMBL152970,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(C(=O)N3CCOCC3)CC2)n1,2360.0
CHEMBL153653,CN1CCN(c2nc(NCCc3ccc(O)cc3)nc(NC3CCc4ccccc43)n2)CC1,10000.0
CHEMBL355980,CN(CCCc1ccc(Cl)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCN(S(=O)(=O)Cc3ccccc3)CC2)n1,1450.0
CHEMBL149803,Cc1ccc(CCCN(C)c2nc(NCCc3ccc(O)cc3)nc(N3CCNCC3)n2)cc1,1140.0
